ticker,date,alert_type,detail
ABNB,2026-08-09,entry,score=7.64 rsi=79.6
AVNT,2026-08-09,entry,score=5.07 rsi=78.2
EQX,2026-08-09,entry,score=5.07 rsi=78.5
GDX,2026-08-09,entry,score=4.96 rsi=79.8
IAG,2026-08-09,entry,score=5.33 rsi=78.5
ICUI,2026-08-09,entry,score=5.00 rsi=76.7
MB,2026-08-09,entry,score=26.42 rsi=83.7
VAC,2026-08-09,entry,score=4.28 rsi=77.2
YJ,2026-08-09,entry,score=26.73 rsi=84.3
BTG,2026-08-09,entry,score=6.38 rsi=83.2
DEO,2026-08-09,entry,score=4.99 rsi=76.4
ERO,2026-08-09,entry,score=5.50 rsi=84.1
FIGS,2026-08-09,entry,score=7.30 rsi=81.9
GDXJ,2026-08-09,entry,score=4.61 rsi=77.4
GDXU,2026-08-09,entry,score=5.21 rsi=79.2
GTN,2026-08-09,entry,score=6.49 rsi=78.6
HALO,2026-08-09,entry,score=7.10 rsi=92.1
HNST,2026-08-09,entry,score=6.48 rsi=83.3
MATV,2026-08-09,entry,score=7.05 rsi=92.0
PUBM,2026-08-09,entry,score=8.58 rsi=80.9
SIL,2026-08-09,entry,score=4.76 rsi=76.0
SVV,2026-08-09,entry,score=5.02 rsi=76.2
TEAM,2026-08-09,entry,score=7.29 rsi=75.4
WPP,2026-08-09,entry,score=5.42 rsi=81.0
ABCL,2026-08-10,entry,score=8.86 rsi=82.7
BMRN,2026-08-10,entry,score=4.62 rsi=78.4
BWMN,2026-08-10,entry,score=16.45 rsi=89.2
HZO,2026-08-10,entry,score=15.98 rsi=84.8
JWEL,2026-08-10,entry,score=26.39 rsi=83.2
VREX,2026-08-10,entry,score=19.05 rsi=95.5
MB,2026-08-10,short_signal,down 23.8% from peak 8.92
YJ,2026-08-10,short_signal,down 20.6% from peak 3.40
ALMR,2026-08-11,entry,score=8.32 rsi=84.6
EOLS,2026-08-11,entry,score=5.56 rsi=87.5
P,2026-08-11,entry,score=5.86 rsi=87.0
PLAG,2026-08-11,entry,score=21.36 rsi=95.5
SEPN,2026-08-11,entry,score=6.36 rsi=84.3
SMJF,2026-08-11,entry,score=4.59 rsi=94.0
STIM,2026-08-11,entry,score=10.09 rsi=76.5
WXM,2026-08-11,entry,score=24.69 rsi=83.0
ZLAB,2026-08-11,entry,score=7.43 rsi=76.2
